songid,song_name,song_description,song_youtube_link
_castle_on_a_cloud,Castle On A Cloud ,Lyrics to Castle on a Cloud,https://www.youtube.com/watch?v=r-wG5aHiRx0
_baby_one_more_time,Baby One More Time ,Britney Spears - ...Baby One More Time (Official Music Video ...,https://www.youtube.com/watch?v=LaKOa57wo1w
_oops_i_did_it_again,Oops I Did It Again ,Oops! . . I Did It Again with lyrics,https://www.youtube.com/watch?v=Mb0e0naXKvA
_wont_go_home_without_you,Wont Go Home Without You ,Maroon 5 - Won't Go Home Without You,https://www.youtube.com/watch?v=saiIxyZ_2M0
_true_colors,True Colors ,"Justin Timberlake, Anna Kendrick - True Colors (Lyric)",https://www.youtube.com/watch?v=la0-5QFLr14
_every_rose_has_its_thorn,Every Rose Has Its Thorn ,Poison-Every Rose Has Its Thorn,https://www.youtube.com/watch?v=ZcqWyyHlCDA
_circle_of_life,Circle Of Life ,"Carmen Twillie, Lebo M. - Circle Of Life (Official ...",https://www.youtube.com/watch?v=GibiNy4d4gc
_rocket_man,Rocket Man ,Taron Egerton - Rocket Man (Official Video),https://www.youtube.com/watch?v=AjWokqBxODs
_animal,Animal ,The Animal Sounds Song,https://www.youtube.com/watch?v=t99ULJjCsaM
_colors_of_the_wind,Colors Of The Wind ,Tori Kelly - Colors Of The Wind (Official Video),https://www.youtube.com/watch?v=XpIMGamlvwg
_say_somethin,Say Somethin ,Justin Timberlake - Say Something ft. Chris ...,https://www.youtube.com/watch?v=8MPbR6Cbwi4
_disturbia,Disturbia ,Rihanna - Disturbia,https://www.youtube.com/watch?v=E1mU6h4Xdxc
_let_me_love_you,Let Me Love You ,Mario - Let Me Love You (Official Music Video),https://www.youtube.com/watch?v=H64QG4UsrGI
_summer,Summer ,A Summer Song Chad and Jeremy,https://www.youtube.com/watch?v=_D2XD341xHo
_sway,Sway ,Dean Martin - Sway,https://www.youtube.com/watch?v=SNQ5wV-jJfE
_bye_bye_bye,Bye Bye Bye ,Nsync - Bye Bye Bye,https://www.youtube.com/watch?v=rIBK-TDzxIQ
_my_favorite_things,My Favorite Things ,My Favorite Things - Julie Andrews,https://www.youtube.com/watch?v=33o32C0ogVM
_breakaway,Breakaway ,In Hearts Wake - Breakaway [Official Music Video],https://www.youtube.com/watch?v=x4Lo10wDZEU
_just_when_i_needed_you,Just When I Needed You ,George Jones - Just When I Needed You,https://www.youtube.com/watch?v=nVDSbXUUt9o
_faith,Faith ,Amy Wadge - Faith's Song [OFFICIAL VIDEO],https://www.youtube.com/watch?v=7gzZEtiusO4
_baby_i_love_your_way,Baby I Love Your Way ,Will to Power - Baby I Love Your Way (Official Video),https://www.youtube.com/watch?v=79r_XaUU7yE
_blue_christmas,Blue Christmas ,Elvis Presley - Blue Christmas (Audio),https://www.youtube.com/watch?v=QipqXel5G4g
_twist_and_shout,Twist And Shout ,The Beatles - Twist & Shout - 1964,https://www.youtube.com/watch?v=YgVWot_xrxE
_american_pie,American Pie ,Don McLean- American Pie (with Lyrics),https://www.youtube.com/watch?v=uAsV5-Hv-7U
_twinkle_twinkle,Twinkle Twinkle ,Twinkle Little Songs - Nursery Rhymes,https://www.youtube.com/channel/UCIqMBrPv0zRqJaUTHHyvZ6g
_georgia_on_my_mind,Georgia On My Mind ,Georgia On My Mind (Willie Nelson) w/ lyrics,https://www.youtube.com/watch?v=FNlw0IDFKDA
_sittin_on_dock_of_th_bay,Sittin On Dock Of Th Bay ,Otis Redding - Sitting On The Dock Of The Bay,https://www.youtube.com/watch?v=wyPKRcBTsFQ
_its_time_imagine_dragons,Its Time Imagine Dragons ,Its Time by Imagine Dragons,https://www.youtube.com/watch?v=V9JZFR4APPo
_cant_fight_this_feeling,Cant Fight This Feeling ,REO Speedwagon - Can't Fight This Feeling,https://www.youtube.com/watch?v=zpOULjyy-n8
_just_the_way_you_are,Just The Way You Are ,Billy Joel - Just the Way You Are (Official Audio),https://www.youtube.com/watch?v=HaA3YZ6QdJU
_what_makes_you_beautiful,What Makes You Beautiful ,One Direction - What Makes You Beautiful Lyrics,https://www.youtube.com/watch?v=CjPc8RVJ0Dc
_glad_you_came,Glad You Came ,The Wanted - Glad You Came,https://www.youtube.com/watch?v=2ggzxInyzVE
_piano_man,Piano Man ,Erik C 'Piano Man',https://www.youtube.com/channel/UChiKrz8bXsB3inE1YrXs8zg
_losing_my_religion,Losing My Religion ,R.E.M. - Losing my religion (lyrics),https://www.youtube.com/watch?v=u036M7p6-ak
_paparazzi,Paparazzi ,Greyson Chance Singing Paparazzi,https://www.youtube.com/watch?v=bxDlC7YV5is
_poker_face,Poker Face ,Poker Face,https://www.youtube.com/watch?v=FbpB01KudSw
_you_drive_me_crazy,You Drive Me Crazy ,Fine Young Cannibals - She Drives Me Crazy ...,https://www.youtube.com/watch?v=UtvmTu4zAMg
_didnt_we_almost_have_it,Didnt We Almost Have It ,Whitney Houston - Didn't We Almost Have It All (Official ...,https://www.youtube.com/watch?v=i_4PlM85NJo
_borderline,Borderline ,Tove Styrke - Borderline,https://www.youtube.com/watch?v=7zhwihAXMlI
_the_alphabet_song,The Alphabet Song ,The Alphabet Song + More | Kids Songs | Super Simple Songs ...,https://www.youtube.com/watch?v=l-sEZaHet8c
_sweater_weather,Sweater Weather ,The Neighbourhood - Sweater Weather - Lyrics,https://www.youtube.com/watch?v=RA26uXxh5O0
_gangstas_paradise,Gangstas Paradise ,Coolio - Gangsta's Paradise feat. L.V.,https://www.youtube.com/watch?v=N6voHeEa3ig
_i_will_survive,I Will Survive ,I Will Survive - Gloria Gaynor (1978),https://www.youtube.com/watch?v=gYkACVDFmeg
_eye_of_the_tiger,Eye Of The Tiger ,Eye Of The Tiger (Song With Lyrics),https://www.youtube.com/watch?v=O9NTecDfcc0
_love_somebody_,Love Somebody  ,Rick Springfield - Love Somebody (Official Video),https://www.youtube.com/watch?v=JIVYW977GVM
_summertime_gershwin,Summertime Gershwin ,Summertime by George Gershwin,https://www.youtube.com/watch?v=8JpPkp1f0So
_l_o_v_e,L O V E ,NAT KING COLE L-O-V-E,https://www.youtube.com/watch?v=JErVP6xLZwg
_star_spangled_whitney,Star Spangled Whitney ,Whitney Houston - Star Spangled Banner,https://www.youtube.com/watch?v=N_lCmBvYMRs
_youve_got_a_friend_in_me,Youve Got A Friend In Me ,You've got a friend in me - Randy Newman - Lyrics,https://www.youtube.com/watch?v=Zy4uiiy0qgA
_you_oughta_know,You Oughta Know ,You Oughta Know - Alanis Morissette - Lyrics,https://www.youtube.com/watch?v=4UEWbTxmG9o
_beauty_and_the_beast,Beauty And The Beast ,"Beauty and the Beast (From ""Beauty and the Beast ...",https://www.youtube.com/watch?v=axySrE0Kg6k
_newyork_newyork,Newyork Newyork ,"NEW YORK,NEW YORK- FRANK SINATRA",https://www.youtube.com/watch?v=btFfXgUdIzY
_just_a_kiss,Just A Kiss ,Lady Antebellum-Just A Kiss LYRICS,https://www.youtube.com/watch?v=Xs9X8NhQJF4
_god_bless_the_usa,God Bless The Usa ,Lee Greenwood- God Bless the U.S.A. lyrics,https://www.youtube.com/watch?v=yH61hFsma24
_hashtag_that_power,Hashtag That Power ,Haschak Sisters - Girl Power (Behind the Scenes),https://www.youtube.com/watch?v=9xM_suigh9o
_broken_wings,Broken Wings ,Mr. Mister - Broken Wings - video,https://www.youtube.com/watch?v=-1M80Z7zTjo
_saving_all_my_love_for,Saving All My Love For ,Saving All My Love for You,https://www.youtube.com/watch?v=pXdqH32Xe-U
_body_party,Body Party ,Ciara - Body Party,https://www.youtube.com/watch?v=B9rSBcoX9ak
_head_over_feet,Head Over Feet ,Alanis Morissette - Head Over Feet,https://www.youtube.com/watch?v=iBgP44KEf3Q
_strongr_what_doesnt_kill,Stronger What Doesnt Kill ,Kelly Clarkson - Stronger (What Doesn't Kill You ...,https://www.youtube.com/watch?v=avYxiIRG4xQ
_shes_always_a_woman,Shes Always A Woman ,Billy Joel - She's Always a Woman (Official Audio),https://www.youtube.com/watch?v=Cx3QmqV2pHg
_dont_let_the_sun_go_down,Dont Let The Sun Go Down ,"George Michael, Elton John - Don't Let The Sun Go Down On Me ...",https://www.youtube.com/watch?v=RsKqMNDoR4o
_everybody_hurts,Everybody Hurts ,R.E.M. - Everybody Hurts (Official Lyric Video),https://www.youtube.com/watch?v=FfggUztyO00
_simple_man,Simple Man ,Lynyrd Skynyrd - Simple Man,https://www.youtube.com/watch?v=sHQ_aTjXObs
_save_th_last_dance_fr_me,Save The Last Dance For Me ,Save the last dance for me - The Drifters,https://www.youtube.com/watch?v=n-XQ26KePUQ
_lovefool,Lovefool ,Lovefool,https://www.youtube.com/watch?v=3Z2pJg5WLyc
_frere_jacques,Frere Jacques ,Frere Jacques | Sing A Long | Frère Jacques | Nursery Rhyme ...,https://www.youtube.com/watch?v=gBbjOyMsUD4
_send_in_the_clowns,Send In The Clowns ,Barbra Streisand - Send In The Clowns,https://www.youtube.com/watch?v=ODqj9Mq39FM
_seasons_of_love,Seasons Of Love ,Seasons of Love - Rent Original Motion Picture ...,https://www.youtube.com/watch?v=wsj15wPpjLY
_cruise_original,Cruise Original ,Sea Cruise-Frankie Ford-original song,https://www.youtube.com/watch?v=VUSd_RYnxAY
_worshipper,Worshipper ,100 Praise & Worship Songs,https://www.youtube.com/watch?v=F8umfBRlwW8
_yesterday_once_more,Yesterday Once More ,The Carpenters - Yesterday Once More (INCLUDES LYRICS),https://www.youtube.com/watch?v=YTaWayUE5XA
_merry_christmas_darling,Merry Christmas Darling ,Merry Christmas Darling,https://www.youtube.com/watch?v=PB5c-KmxqQw
_breakfast_at_tiffanys,Breakfast At Tiffanys ,Breakfast At Tiffany's- Deep Blue Something (with ...,https://www.youtube.com/watch?v=QSgJ5On8Zso
_drift_away,Drift Away ,Dobie gray- drift away,https://www.youtube.com/watch?v=gr_eVcCAUXo
_bed_intruder,Bed Intruder ,iTunes Version - Bed Intruder Song,https://www.youtube.com/watch?v=VKsVSBhSwJg
_umbrella,Umbrella ,Rihanna - Umbrella Lyrics,https://www.youtube.com/watch?v=gN3gNuRdVmg
_a_whole_new_world,A Whole New World ,Aladdin - A Whole New World,https://www.youtube.com/watch?v=sVxUUotm1P4
_making_memories_of_us,Making Memories Of Us ,Keith Urban - Making Memories of Us,https://www.youtube.com/watch?v=DQwv13s2A20
_luka,Luka ,Lyrics - Luka (Suzanne Vega),https://www.youtube.com/watch?v=0m9EWNDq9hw
_weve_only_just_begun,Weve Only Just Begun ,"The Carpenters ""We've Only Just Begun""",https://www.youtube.com/watch?v=8JgEptmz_eE
_in_my_head,In My Head ,Ariana Grande - in my head (Audio),https://www.youtube.com/watch?v=6GcpNvYFMGE
